,date,open,high,low,close,volume,SMA_20,EMA_50,RSI,stoch_k,stoch_d,BB_upper,BB_middle,BB_lower,ATR,ROC,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,rolling_mean,rolling_std,target
57,2025-01-20 04:20:00,3257.93,3268.45,3254.56,3259.26,1134.6574,3257.3370000000004,3234.662442097883,53.292733278282434,43.057763645999195,45.868582831588846,3277.0830808636483,3257.3370000000004,3237.5909191363526,16.229285714285684,-0.1020661498993109,3257.93,3258.44,3254.7,3258.0,3272.34,3271.21,3265.22,3272.91,3262.1375,6.633173664016671,0.007918975472960055
58,2025-01-20 04:25:00,3259.29,3260.39,3251.5,3258.9,1207.0543,3257.864,3235.6129345646327,44.18063884469489,42.10386857445671,43.58352293217221,3277.1587414706983,3257.864,3238.569258529302,15.192857142857097,-0.14554256737088841,3259.26,3257.93,3258.44,3254.7,3258.0,3272.34,3271.21,3265.22,3261.3475000000003,6.589816277506645,0.0035901684617507534
59,2025-01-20 04:30:00,3258.89,3264.74,3255.1,3261.76,1368.7033,3258.6274999999996,3236.6383096797454,53.36255307492138,49.68203497615291,44.94788906553628,3277.223004691641,3258.6274999999996,3240.031995308358,14.052142857142826,-0.3406754233999602,3258.9,3259.26,3257.93,3258.44,3254.7,3258.0,3272.34,3271.21,3260.1662499999998,5.287697142546417,0.002750049053271697
60,2025-01-20 04:35:00,3261.65,3271.87,3260.68,3266.05,1754.3883,3259.6765,3237.7917093001474,62.27501799855995,60.10854816825005,50.631483906286554,3277.398300163997,3259.6765,3241.954699836003,13.722142857142833,0.02541942043722573,3261.76,3258.9,3259.26,3257.93,3258.44,3254.7,3258.0,3272.34,3259.38,3.320735718805613,0.005033603282252219
61,2025-01-20 04:40:00,3266.05,3279.1,3263.14,3277.3,1988.8616,3261.426,3239.341054033475,60.959618536730524,88.53439680957194,66.10832665132496,3278.8348475993344,3261.426,3244.0171524006655,13.38071428571428,0.1861696436486849,3266.05,3261.76,3258.9,3259.26,3257.93,3258.44,3254.7,3258.0,3261.7925,7.069570102094828,0.009992982027888786
62,2025-01-20 04:45:00,3277.29,3300.0,3276.58,3285.07,5570.7751,3263.6234999999997,3241.1343460321623,64.50826334326715,69.7405755978926,72.79450685857152,3281.3328365503235,3263.6234999999997,3245.914163449676,13.674285714285718,0.3890182560491886,3277.3,3266.05,3261.76,3258.9,3259.26,3257.93,3258.44,3254.7,3265.5887500000003,10.184709039247906,0.00481877098509309
63,2025-01-20 04:50:00,3285.06,3285.18,3270.0,3270.6,1934.4252,3264.5095,3242.2898618740383,48.538529672276425,40.413457640859335,66.22947668277463,3281.721776493981,3264.5095,3247.2972235060192,13.75857142857142,0.3867403314917099,3285.07,3277.3,3266.05,3261.76,3258.9,3259.26,3257.93,3258.44,3267.10875,9.867861886656785,0.007720295970158331
64,2025-01-20 04:55:00,3270.6,3275.73,3267.83,3270.73,1372.8004,3264.6255,3243.40516140839,53.85476423674273,40.67693554925032,50.27698959600074,3281.979148456069,3264.6255,3247.271851543931,13.265000000000002,0.49251851169079175,3270.6,3285.07,3277.3,3266.05,3261.76,3258.9,3259.26,3257.93,3268.70875,9.180778736802703,0.006992322814784346
65,2025-01-20 05:00:00,3270.73,3283.9,3267.38,3282.49,1484.2594,3265.9075,3244.9379001766883,57.30191610564443,64.51155249290602,48.53398189433855,3284.580699342485,3265.9075,3247.2343006575147,13.629285714285711,0.7380832545635251,3270.73,3270.6,3285.07,3277.3,3266.05,3261.76,3258.9,3259.26,3271.6125,9.435470690044717,0.0013739569655963901
66,2025-01-20 05:05:00,3282.5,3311.58,3282.01,3310.05,3347.4069,3268.96,3247.4913158560344,68.18751808623486,97.48850952068328,67.5589991876132,3294.6406763314767,3268.96,3243.2793236685234,14.94857142857141,1.5997888229642856,3282.49,3270.73,3270.6,3285.07,3277.3,3266.05,3261.76,3258.9,3278.00625,15.175121498684112,-0.011688645186628599
67,2025-01-20 05:10:00,3310.05,3320.0,3300.0,3300.9,2908.9335,3270.8755,3249.5857740577585,71.78107229894358,72.4545716758006,78.15154456312996,3300.0350079555624,3270.8755,3241.715992044438,15.352857142857115,1.2775906187294008,3310.05,3282.49,3270.73,3270.6,3285.07,3277.3,3266.05,3261.76,3282.8987500000003,15.495072431023818,-0.007070798873034634
68,2025-01-20 05:15:00,3300.9,3311.97,3293.6,3295.85,3433.0301,3272.4855,3251.4000574280426,70.52778609198809,64.74452554744512,78.22920224797633,3303.4642400613616,3272.4855,3241.506759938638,15.931428571428537,1.1338181595016668,3300.9,3310.05,3282.49,3270.73,3270.6,3285.07,3277.3,3266.05,3286.6237499999997,14.409968709684884,-0.0028035256458879276
69,2025-01-20 05:20:00,3295.72,3300.4,3287.02,3293.6,2461.7136,3273.52,3253.054957136747,67.8043346161633,61.459854014598406,66.2196504126147,3305.908201880509,3273.52,3241.131798119491,15.654999999999973,0.9761601098793194,3295.85,3300.9,3310.05,3282.49,3270.73,3270.6,3285.07,3277.3,3288.66125,14.051206798699123,-0.0009442555258684093
70,2025-01-20 05:25:00,3293.5,3293.51,3282.9,3287.0,1949.8393,3274.609,3254.3861352882473,63.86530573309158,51.82481751824818,59.34306569343056,3307.2855042902625,3274.609,3241.9324957097374,15.329285714285659,0.6414476202140144,3293.6,3295.85,3300.9,3310.05,3282.49,3270.73,3270.6,3285.07,3288.9025,13.997203547232758,0.0018405841192576933
71,2025-01-20 05:30:00,3287.0,3290.98,3270.87,3271.36,2970.1415,3274.6165,3255.0517770416495,55.07805942588544,28.992700729927197,47.425790754257925,3307.2897881563417,3274.6165,3241.9432118436584,15.77357142857139,-0.1812467580020155,3287.0,3293.6,3295.85,3300.9,3310.05,3282.49,3270.73,3270.6,3288.9975,13.85711550070238,0.006104494766702384
72,2025-01-20 05:35:00,3271.4,3278.29,3269.01,3277.56,3483.6771,3274.8775,3255.934452451781,57.46519443110889,34.60708782742682,38.47486869186739,3307.5576152320323,3274.8775,3242.197384767968,15.801428571428525,-0.2286100448392338,3271.36,3287.0,3293.6,3295.85,3300.9,3310.05,3282.49,3270.73,3289.85125,12.735895770272057,0.007182172103638029
73,2025-01-20 05:40:00,3277.56,3286.9,3277.21,3286.61,1186.7071,3276.308,3257.137415100731,59.472440344590915,43.712070128119045,35.770619561824354,3308.3764370813747,3276.308,3244.2395629186253,15.804999999999966,0.4895126276524252,3277.56,3271.36,3287.0,3293.6,3295.85,3300.9,3310.05,3282.49,3290.36625,12.476361577562939,0.0014057037494561442
74,2025-01-20 05:45:00,3286.61,3291.48,3279.56,3290.49,1865.4782,3278.0975,3258.4453596065846,59.345365555215494,48.10059795990124,42.139918638482364,3309.064390213156,3278.0975,3247.1306097868437,15.857142857142824,0.6041464749459529,3286.61,3277.56,3271.36,3287.0,3293.6,3295.85,3300.9,3310.05,3287.92125,9.668492920665045,0.0035313889420724998
75,2025-01-20 05:50:00,3290.49,3298.25,3289.34,3293.05,2008.3396,3279.828,3259.802404327895,56.451216515114254,48.78373242113289,46.86546683638439,3310.028284836579,3279.828,3249.627715163421,15.353571428571383,0.32170699682254633,3290.49,3286.61,3277.56,3271.36,3287.0,3293.6,3295.85,3300.9,3286.94,8.489586898907085,0.002356478037077947
76,2025-01-20 05:55:00,3293.05,3293.05,3284.32,3291.33,957.7499,3281.4980000000005,3261.038780628762,52.69781072228914,45.51501330292639,47.4664478946535,3310.259331204094,3281.4980000000005,3252.736668795907,14.304285714285665,-0.5655503693297761,3293.05,3290.49,3286.61,3277.56,3271.36,3287.0,3293.6,3295.85,3286.375,7.944825809460339,0.002576466048679338
77,2025-01-20 06:00:00,3291.33,3305.93,3291.29,3301.1,1508.6544,3283.59,3262.609808839399,63.69924541861293,64.0820980615733,52.79361459521086,3311.6179852628534,3283.59,3255.562014737147,14.265714285714239,0.006058953618704538,3291.33,3293.05,3290.49,3286.61,3277.56,3271.36,3287.0,3293.6,3287.3125,9.253845146738131,0.0007845869558631424
78,2025-01-20 06:05:00,3301.1,3305.48,3286.2,3291.23,1692.7219,3285.2065000000002,3263.7321692770697,58.466875929291234,45.32497149372855,51.64069428607607,3310.868102915845,3285.2065000000002,3259.5448970841553,15.07857142857139,-0.14017628229439721,3301.1,3291.33,3293.05,3290.49,3286.61,3277.56,3271.36,3287.0,3287.8412500000004,9.353747052832874,0.004758099555485229
79,2025-01-20 06:10:00,3291.23,3307.24,3287.69,3302.11,3858.1998,3287.2239999999997,3265.2371822465966,58.1627558662008,64.91468915473632,58.10725290334605,3311.42727807289,3287.2239999999997,3263.020721927109,15.294999999999943,0.25837988826816305,3291.23,3301.1,3291.33,3293.05,3290.49,3286.61,3277.56,3271.36,3291.6850000000004,7.8030982857419815,0.006295974392131143
80,2025-01-20 06:15:00,3302.11,3307.77,3294.52,3300.81,2994.7912,3288.9620000000004,3266.6321947075144,45.0809199318568,62.36516964110584,57.534943429856895,3311.711768859439,3288.9620000000004,3266.212231140562,14.129285714285677,0.420139945238818,3302.11,3291.23,3301.1,3291.33,3293.05,3290.49,3286.61,3277.56,3294.59125,5.884581396674611,0.015474989472280987
